Timestep_s,Total_Steps,Drag_Fx
1.7275e-08,1250,1.282732e-08
8.6374e-09,2500,1.281000e-08
4.3187e-09,5000,1.251243e-08
2.1593e-09,10000,1.264193e-08
1.0797e-09,20000,1.259064e-08
