ITEM: TIMESTEP
625
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
1250
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.39448e-10 8.80349e-11 9.75824e-11 
5 2.34245e-10 1.41443e-10 5.04994e-11 
9 2.53165e-10 1.69584e-10 -6.02031e-11 
13 1.2509e-10 9.08452e-11 -9.2667e-11 
17 2.19457e-10 3.9826e-11 1.47393e-10 
21 5.29773e-10 9.66971e-11 1.22111e-10 
25 5.98857e-10 1.42576e-10 -1.32309e-10 
29 2.75903e-10 6.87513e-11 -1.89154e-10 
33 2.21631e-10 -4.29638e-11 1.3643e-10 
37 4.82182e-10 -9.49103e-11 9.55179e-11 
41 5.05201e-10 -1.19591e-10 -1.0481e-10 
45 2.85391e-10 -7.08447e-11 -1.82438e-10 
49 1.55427e-10 -8.06847e-11 7.61311e-11 
53 2.04872e-10 -1.23974e-10 3.60865e-11 
57 2.02649e-10 -1.38485e-10 -4.17185e-11 
61 1.38719e-10 -1.00477e-10 -8.41654e-11 
65 6.34032e-11 9.33098e-11 7.34755e-11 
69 1.46947e-10 2.01558e-10 5.28236e-11 
73 1.45471e-10 1.91723e-10 -4.04723e-11 
77 8.81261e-11 9.052e-11 -7.43797e-11 
81 3.26006e-11 9.42417e-11 6.74977e-11 
85 6.07504e-11 2.11435e-10 5.09753e-11 
89 7.0493e-11 2.39762e-10 -5.73748e-11 
93 3.37698e-11 1.01635e-10 -7.59451e-11 
97 -4.81512e-12 4.40854e-11 2.59214e-11 
101 -1.63382e-11 9.23187e-11 1.99181e-11 
105 -1.97118e-11 1.0957e-10 -2.52919e-11 
109 -8.65883e-12 4.50038e-11 -3.32603e-11 
113 -7.33041e-12 1.38481e-11 7.2127e-12 
117 -9.67475e-12 2.03682e-11 2.44427e-12 
121 -1.32459e-11 2.53398e-11 -4.81527e-12 
125 -6.22086e-12 1.19603e-11 -6.7004e-12 
129 5.59037e-11 5.87692e-11 7.43689e-11 
133 1.25333e-10 4.02706e-11 1.70402e-10 
137 1.69529e-10 -5.64007e-11 2.09565e-10 
141 9.22059e-11 -7.72927e-11 9.90097e-11 
145 2.20464e-11 5.63752e-11 7.74648e-11 
149 6.49924e-11 5.77654e-11 2.27445e-10 
153 6.75642e-11 -5.82606e-11 2.1861e-10 
157 3.98116e-11 -8.4624e-11 1.19455e-10 
161 -5.88159e-12 3.33035e-11 5.05365e-11 
165 -1.07511e-11 2.06741e-11 7.97961e-11 
169 -1.85879e-11 -2.3488e-11 9.98818e-11 
173 -7.0146e-12 -3.03302e-11 4.6956e-11 
177 -5.12852e-12 7.24444e-12 1.39558e-11 
181 -1.01583e-11 4.85301e-12 1.91995e-11 
185 -1.14824e-11 -4.99249e-12 1.7546e-11 
189 -7.15143e-12 -9.72252e-12 1.35244e-11 
2 1.22024e-10 9.1396e-11 8.02068e-11 
6 2.2541e-10 1.47899e-10 4.26388e-11 
10 1.99156e-10 1.19931e-10 -3.86679e-11 
14 1.12216e-10 5.91279e-11 -6.57375e-11 
18 2.46533e-10 5.90823e-11 1.57144e-10 
22 5.33284e-10 1.20758e-10 1.1272e-10 
26 4.98403e-10 9.89435e-11 -1.05893e-10 
30 2.32744e-10 4.58105e-11 -1.32556e-10 
34 2.37841e-10 -6.13591e-11 1.63723e-10 
38 5.80139e-10 -1.34766e-10 1.29258e-10 
42 5.77168e-10 -1.12912e-10 -1.35704e-10 
46 2.33666e-10 -4.43517e-11 -1.49168e-10 
50 1.14151e-10 -8.79622e-11 8.38469e-11 
54 2.97324e-10 -1.99202e-10 6.31104e-11 
58 2.75462e-10 -1.68151e-10 -6.48766e-11 
62 1.46543e-10 -8.54273e-11 -1.03696e-10 
66 8.95347e-11 1.07146e-10 6.66351e-11 
70 1.22286e-10 1.57705e-10 3.69883e-11 
74 9.99785e-11 1.32108e-10 -2.87453e-11 
78 5.58249e-11 8.33458e-11 -4.71422e-11 
82 3.55824e-11 1.08146e-10 7.07637e-11 
86 6.85491e-11 2.08226e-10 4.35976e-11 
90 5.48239e-11 1.91199e-10 -4.32644e-11 
94 1.85805e-11 8.19205e-11 -5.15851e-11 
98 -1.09074e-11 5.85541e-11 4.4412e-11 
102 -1.83573e-11 1.02658e-10 2.36368e-11 
106 -1.33669e-11 9.68113e-11 -2.42972e-11 
110 -7.53347e-12 4.62017e-11 -3.30274e-11 
114 -1.01818e-11 1.59646e-11 1.48253e-11 
118 -1.45153e-11 2.57137e-11 6.63049e-12 
122 -1.63478e-11 2.65471e-11 -7.02938e-12 
126 -1.05404e-11 1.84823e-11 -1.20559e-11 
130 8.15139e-11 6.22972e-11 9.26466e-11 
134 1.26286e-10 3.53891e-11 1.64051e-10 
