ITEM: TIMESTEP
10000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
20000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.17745e-10 7.10988e-11 8.18445e-11 
5 2.49455e-10 1.56865e-10 6.57887e-11 
9 2.4761e-10 1.71646e-10 -6.30738e-11 
13 1.11995e-10 8.35673e-11 -8.78636e-11 
17 2.26958e-10 3.92057e-11 1.50789e-10 
21 5.52529e-10 1.19169e-10 1.29572e-10 
25 5.76844e-10 1.33566e-10 -1.32528e-10 
29 2.7862e-10 6.9298e-11 -1.88496e-10 
33 2.11659e-10 -3.85078e-11 1.24913e-10 
37 4.88281e-10 -1.01924e-10 9.52231e-11 
41 5.47604e-10 -1.23251e-10 -1.00085e-10 
45 2.58103e-10 -6.66221e-11 -1.57416e-10 
49 1.27151e-10 -6.71062e-11 6.80985e-11 
53 1.92259e-10 -1.22547e-10 3.55461e-11 
57 2.17954e-10 -1.45776e-10 -4.98359e-11 
61 1.22325e-10 -8.72733e-11 -7.15836e-11 
65 6.15802e-11 8.31313e-11 6.12372e-11 
69 1.31528e-10 1.72453e-10 4.75008e-11 
73 1.49099e-10 1.90309e-10 -4.57811e-11 
77 1.00777e-10 1.1697e-10 -9.52631e-11 
81 3.10291e-11 1.01637e-10 7.28184e-11 
85 6.29779e-11 2.14901e-10 4.77674e-11 
89 6.67311e-11 2.27309e-10 -5.41216e-11 
93 3.9383e-11 1.19571e-10 -8.28391e-11 
97 -5.54677e-12 4.22202e-11 2.671e-11 
101 -8.93343e-12 7.5231e-11 1.58446e-11 
105 -1.37625e-11 9.23699e-11 -2.36323e-11 
109 -8.82908e-12 5.34355e-11 -3.94196e-11 
113 -1.11267e-11 2.05014e-11 1.20607e-11 
117 -1.41453e-11 2.49647e-11 4.05702e-12 
121 -8.96257e-12 1.6391e-11 -3.93051e-12 
125 -9.70029e-12 1.64778e-11 -1.01915e-11 
129 5.99386e-11 6.10736e-11 8.21935e-11 
133 1.10565e-10 3.44463e-11 1.5669e-10 
137 1.46506e-10 -4.85612e-11 1.80356e-10 
141 9.15619e-11 -8.54535e-11 1.03115e-10 
145 2.94739e-11 7.09512e-11 9.0178e-11 
149 6.39944e-11 5.35891e-11 2.15427e-10 
153 6.3016e-11 -5.68016e-11 2.02758e-10 
157 4.34905e-11 -8.55968e-11 1.24948e-10 
161 -6.1226e-12 3.43077e-11 5.23154e-11 
165 -1.40487e-11 2.17127e-11 1.04552e-10 
169 -7.94548e-12 -2.26353e-11 8.49264e-11 
173 -8.36296e-12 -4.14971e-11 5.95744e-11 
177 -8.82133e-12 1.01141e-11 1.83416e-11 
181 -1.21784e-11 2.26644e-12 1.90918e-11 
185 -1.39719e-11 -4.47689e-12 1.99981e-11 
189 -6.5818e-12 -7.55854e-12 7.28406e-12 
2 1.4206e-10 9.75923e-11 8.61127e-11 
6 2.12643e-10 1.48351e-10 4.53741e-11 
10 2.15934e-10 1.32836e-10 -4.09383e-11 
14 1.2899e-10 6.86558e-11 -7.2983e-11 
18 2.50302e-10 5.35791e-11 1.54667e-10 
22 5.33915e-10 1.26275e-10 1.14797e-10 
26 5.02227e-10 1.05594e-10 -1.13827e-10 
30 1.93945e-10 3.26302e-11 -1.18095e-10 
34 2.47034e-10 -6.28503e-11 1.64922e-10 
38 5.55363e-10 -1.29636e-10 1.21847e-10 
42 5.08592e-10 -1.06423e-10 -1.13936e-10 
46 2.10714e-10 -4.11519e-11 -1.38645e-10 
50 1.38105e-10 -1.08543e-10 1.03756e-10 
54 2.53931e-10 -1.71e-10 6.50117e-11 
58 2.5336e-10 -1.56921e-10 -6.15958e-11 
62 1.31454e-10 -8.0608e-11 -9.26235e-11 
66 9.93044e-11 1.09089e-10 6.81912e-11 
70 1.24673e-10 1.57818e-10 3.53273e-11 
74 7.81124e-11 1.17329e-10 -2.33688e-11 
78 5.31565e-11 7.91742e-11 -4.37072e-11 
82 4.09262e-11 1.19597e-10 7.46758e-11 
86 7.0382e-11 2.10466e-10 4.02764e-11 
90 6.61505e-11 2.14193e-10 -4.02537e-11 
94 2.61631e-11 9.91458e-11 -6.68823e-11 
98 -1.02754e-11 6.21556e-11 4.29086e-11 
102 -2.11159e-11 1.06303e-10 2.86396e-11 
106 -1.11429e-11 1.02831e-10 -1.7316e-11 
110 -6.42827e-12 5.50717e-11 -3.99108e-11 
114 -8.42002e-12 1.61025e-11 1.25773e-11 
118 -1.55971e-11 2.61117e-11 6.19605e-12 
122 -1.42173e-11 2.68287e-11 -5.94041e-12 
126 -8.22924e-12 1.73764e-11 -1.22367e-11 
130 7.32746e-11 5.89096e-11 8.91059e-11 
134 1.16241e-10 3.12942e-11 1.52422e-10 
