Timestep_s,Total_Steps,Drag_Fx
1.7275e-08,1249,0.000000e+00
8.6374e-09,2499,0.000000e+00
4.3187e-09,4999,0.000000e+00
2.1593e-09,10000,1.264193e-08
1.0797e-09,19999,0.000000e+00
