Fnum,Total_Simulated_Particles,Drag_Fx
10000000,214684,1.323540e-08
5000000,429158,1.223256e-08
2000000,1074051,1.265461e-08
1000000,2148421,1.277311e-08
500000,4299768,1.274047e-08
