ITEM: TIMESTEP
2500
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.27165e-10 8.35348e-11 8.36902e-11 
5 3.2878e-10 1.98302e-10 6.92659e-11 
9 2.41698e-10 1.67216e-10 -4.78011e-11 
13 1.266e-10 8.88489e-11 -8.53964e-11 
17 2.43589e-10 4.41245e-11 1.69892e-10 
21 5.4831e-10 9.75228e-11 1.23034e-10 
25 6.32584e-10 1.2431e-10 -1.5899e-10 
29 2.92759e-10 6.10042e-11 -1.79075e-10 
33 1.52712e-10 -3.82661e-11 8.93954e-11 
37 4.58869e-10 -1.18233e-10 1.15502e-10 
41 5.30034e-10 -1.04464e-10 -1.207e-10 
45 2.70307e-10 -5.38137e-11 -1.56268e-10 
49 1.69476e-10 -8.80703e-11 9.16934e-11 
53 1.95401e-10 -1.2561e-10 3.0716e-11 
57 1.90888e-10 -1.23615e-10 -3.76879e-11 
61 1.08005e-10 -8.34552e-11 -7.42075e-11 
65 9.16585e-11 1.28807e-10 9.49754e-11 
69 1.1219e-10 1.42856e-10 3.50426e-11 
73 1.4468e-10 1.69867e-10 -3.5395e-11 
77 1.17219e-10 1.37169e-10 -1.09196e-10 
81 8.09102e-12 5.75896e-11 4.78728e-11 
85 4.2804e-11 1.85081e-10 4.09339e-11 
89 8.74231e-11 3.35103e-10 -9.25266e-11 
93 3.92813e-11 1.30634e-10 -9.77317e-11 
97 -6.39129e-12 6.11649e-11 2.73658e-11 
101 -1.77022e-11 9.10888e-11 1.92288e-11 
105 -2.01271e-11 1.13127e-10 -2.24915e-11 
109 -4.7519e-12 5.62206e-11 -3.31257e-11 
113 -5.81025e-12 1.8789e-11 8.15245e-12 
117 -9.29684e-12 1.65693e-11 3.33634e-12 
121 -1.46016e-11 2.36116e-11 -1.10851e-12 
125 -1.0976e-11 1.02439e-11 -8.05903e-12 
129 4.54821e-11 4.65964e-11 7.08703e-11 
133 8.75048e-11 3.66531e-11 1.1422e-10 
137 1.48486e-10 -5.40684e-11 1.98683e-10 
141 7.57126e-11 -5.83671e-11 7.65445e-11 
145 2.08204e-11 2.90477e-11 4.72586e-11 
149 4.80442e-11 5.09391e-11 1.946e-10 
153 5.40393e-11 -4.07313e-11 1.60977e-10 
157 3.15356e-11 -5.28393e-11 7.82707e-11 
161 -1.98154e-12 2.27327e-11 3.69991e-11 
165 -1.54063e-11 2.61176e-11 7.77217e-11 
169 -8.70358e-12 -1.1974e-11 8.70404e-11 
173 -7.30741e-12 -2.49407e-11 5.11152e-11 
177 -9.67909e-12 1.35701e-11 2.23251e-11 
181 -3.73607e-12 4.27062e-12 1.29556e-11 
185 -1.20598e-11 -4.51207e-12 2.07099e-11 
189 -7.26368e-12 -8.16306e-12 1.1383e-11 
2 1.26377e-10 9.31397e-11 7.37147e-11 
6 2.31186e-10 1.64878e-10 3.84495e-11 
10 1.6023e-10 9.2756e-11 -2.90507e-11 
14 1.1199e-10 6.14633e-11 -6.55764e-11 
18 2.00289e-10 6.52942e-11 1.24424e-10 
22 4.42731e-10 8.32079e-11 8.52417e-11 
26 4.32286e-10 8.20302e-11 -1.04642e-10 
30 2.47697e-10 4.15034e-11 -1.35362e-10 
34 2.452e-10 -5.85257e-11 1.79679e-10 
38 5.49309e-10 -1.13114e-10 1.12048e-10 
42 5.02662e-10 -1.05237e-10 -1.02914e-10 
46 2.3121e-10 -3.80335e-11 -1.52255e-10 
50 1.24172e-10 -1.04368e-10 1.03408e-10 
54 1.92133e-10 -1.43023e-10 4.25376e-11 
58 2.53608e-10 -1.73221e-10 -7.85836e-11 
62 1.15782e-10 -7.44557e-11 -7.91682e-11 
66 1.18828e-10 1.47476e-10 9.54565e-11 
70 9.39408e-11 1.14696e-10 2.30057e-11 
74 7.79729e-11 1.15369e-10 -1.96286e-11 
78 4.82488e-11 6.53357e-11 -3.68806e-11 
82 4.0153e-11 1.13319e-10 7.68319e-11 
86 6.74207e-11 2.1522e-10 3.49755e-11 
90 3.6983e-11 1.42065e-10 -2.77868e-11 
94 2.38715e-11 1.10033e-10 -6.36954e-11 
98 -1.11933e-12 4.58317e-11 3.25371e-11 
102 -1.86715e-11 8.77093e-11 2.57242e-11 
106 -1.89255e-11 1.13721e-10 -3.24977e-11 
110 -5.41013e-12 4.55796e-11 -4.01771e-11 
114 -1.72316e-11 2.71337e-11 1.47649e-11 
118 -3.59103e-12 1.8912e-11 5.00123e-13 
122 -7.30255e-12 1.61273e-11 -1.29067e-12 
126 -6.77235e-12 1.74642e-11 -1.35791e-11 
130 9.67861e-11 7.3974e-11 1.20534e-10 
134 8.98901e-11 1.87395e-11 1.21442e-10 
