ITEM: TIMESTEP
2500
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
5000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.40587e-10 8.86651e-11 1.04956e-10 
5 2.80792e-10 1.79326e-10 6.9897e-11 
9 2.81049e-10 2.04914e-10 -7.02236e-11 
13 1.41205e-10 1.07759e-10 -1.01055e-10 
17 2.28637e-10 4.53181e-11 1.5168e-10 
21 5.27939e-10 1.06101e-10 1.1466e-10 
25 5.46451e-10 1.12723e-10 -1.23099e-10 
29 2.37467e-10 5.87857e-11 -1.65521e-10 
33 2.59803e-10 -4.59395e-11 1.53266e-10 
37 5.10172e-10 -9.91553e-11 1.075e-10 
41 5.0649e-10 -1.15111e-10 -1.04467e-10 
45 2.60056e-10 -5.78462e-11 -1.60821e-10 
49 1.21379e-10 -6.04549e-11 6.40572e-11 
53 2.17521e-10 -1.26603e-10 3.70404e-11 
57 2.18589e-10 -1.44162e-10 -4.55142e-11 
61 1.37867e-10 -9.59222e-11 -8.40334e-11 
65 6.71734e-11 9.12517e-11 7.08729e-11 
69 1.32633e-10 1.83031e-10 4.49568e-11 
73 1.63476e-10 2.11362e-10 -5.0681e-11 
77 9.02921e-11 1.01598e-10 -8.63017e-11 
81 2.06487e-11 8.29978e-11 5.84357e-11 
85 5.43766e-11 1.99326e-10 5.21447e-11 
89 5.76296e-11 2.04347e-10 -4.95354e-11 
93 3.67934e-11 1.23899e-10 -8.4955e-11 
97 -1.06565e-11 6.09971e-11 3.88929e-11 
101 -1.14962e-11 8.51206e-11 1.9529e-11 
105 -1.39523e-11 8.98315e-11 -2.3621e-11 
109 -6.73349e-12 4.5955e-11 -3.05234e-11 
113 -8.96763e-12 1.7488e-11 9.74408e-12 
117 -9.46172e-12 1.9208e-11 6.07865e-12 
121 -1.48897e-11 2.12017e-11 -4.25091e-12 
125 -1.14062e-11 1.76303e-11 -1.38222e-11 
129 6.05645e-11 5.94571e-11 7.92595e-11 
133 1.32182e-10 4.39683e-11 1.88132e-10 
137 1.4522e-10 -4.43451e-11 1.84047e-10 
141 1.01279e-10 -8.92137e-11 1.10531e-10 
145 2.64217e-11 5.95713e-11 8.33538e-11 
149 5.61474e-11 5.32216e-11 2.14365e-10 
153 7.12957e-11 -6.28514e-11 2.43807e-10 
157 3.92389e-11 -9.0065e-11 1.15912e-10 
161 -4.69419e-12 3.16064e-11 5.20542e-11 
165 -1.00693e-11 1.38945e-11 7.74037e-11 
169 -1.43113e-11 -1.90144e-11 9.63087e-11 
173 -9.08942e-12 -3.07853e-11 4.56783e-11 
177 -8.97752e-12 9.06605e-12 1.41746e-11 
181 -8.54965e-12 3.50831e-12 1.45588e-11 
185 -1.10676e-11 -3.58799e-12 1.96999e-11 
189 -1.20185e-11 -9.97192e-12 1.74881e-11 
2 1.37266e-10 9.3368e-11 7.6618e-11 
6 2.12354e-10 1.42707e-10 4.47703e-11 
10 2.11083e-10 1.25198e-10 -3.92487e-11 
14 1.3655e-10 7.40903e-11 -7.25485e-11 
18 2.67833e-10 6.5682e-11 1.67577e-10 
22 5.28364e-10 1.1667e-10 1.0582e-10 
26 4.90774e-10 1.02051e-10 -1.03699e-10 
30 2.02046e-10 3.75936e-11 -1.14776e-10 
34 2.48682e-10 -6.07402e-11 1.62472e-10 
38 5.46877e-10 -1.20401e-10 1.18689e-10 
42 5.30211e-10 -1.12882e-10 -1.16099e-10 
46 2.12023e-10 -3.79401e-11 -1.43649e-10 
50 1.32504e-10 -1.00894e-10 1.06705e-10 
54 2.79578e-10 -1.99802e-10 6.76762e-11 
58 2.78585e-10 -1.69691e-10 -6.7288e-11 
62 1.21629e-10 -7.65135e-11 -8.99837e-11 
66 8.94528e-11 1.07956e-10 7.47082e-11 
70 1.22956e-10 1.59745e-10 3.0799e-11 
74 8.45561e-11 1.19041e-10 -2.47217e-11 
78 4.96276e-11 7.52343e-11 -4.52849e-11 
82 4.34454e-11 1.23003e-10 8.41482e-11 
86 6.12501e-11 1.9309e-10 4.21582e-11 
90 5.08187e-11 1.8056e-10 -4.34e-11 
94 2.48795e-11 8.7971e-11 -5.64601e-11 
98 -5.16002e-12 6.30521e-11 4.78504e-11 
102 -1.42693e-11 1.08711e-10 2.84906e-11 
106 -1.18563e-11 9.35286e-11 -2.425e-11 
110 -7.11745e-12 4.92763e-11 -3.61471e-11 
114 -9.89639e-12 1.68503e-11 1.27991e-11 
118 -1.15808e-11 1.85485e-11 5.14451e-12 
122 -1.86511e-11 3.34141e-11 -8.41622e-12 
126 -1.12245e-11 2.14291e-11 -1.82609e-11 
130 7.67855e-11 5.74831e-11 8.70653e-11 
134 1.28689e-10 3.4395e-11 1.57212e-10 
