ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 8.04141e-11 4.49926e-11 5.79961e-11 
5 2.82561e-10 1.79516e-10 7.07605e-11 
9 2.30039e-10 1.54874e-10 -5.23339e-11 
13 1.39575e-10 1.03232e-10 -1.15887e-10 
17 2.08282e-10 2.86437e-11 1.3752e-10 
21 5.31268e-10 1.12112e-10 1.08126e-10 
25 6.23218e-10 1.42257e-10 -1.53764e-10 
29 3.17141e-10 9.88643e-11 -2.17393e-10 
33 1.80995e-10 -3.26883e-11 1.32887e-10 
37 5.69684e-10 -1.16942e-10 1.31395e-10 
41 5.65118e-10 -1.25957e-10 -1.1912e-10 
45 2.83154e-10 -6.99487e-11 -1.77248e-10 
49 1.20014e-10 -7.11243e-11 6.19952e-11 
53 1.93176e-10 -1.13852e-10 4.85932e-11 
57 2.07556e-10 -1.34512e-10 -3.86772e-11 
61 1.4528e-10 -9.19108e-11 -8.80162e-11 
65 6.31216e-11 8.94942e-11 6.22055e-11 
69 1.35338e-10 2.13627e-10 4.49733e-11 
73 1.7295e-10 2.19655e-10 -5.04937e-11 
77 8.55439e-11 8.21703e-11 -6.85437e-11 
81 2.69081e-11 9.68056e-11 7.66864e-11 
85 4.83079e-11 1.49786e-10 3.82652e-11 
89 8.95104e-11 2.6943e-10 -5.78216e-11 
93 4.25472e-11 1.245e-10 -1.05431e-10 
97 -1.02092e-11 4.84155e-11 3.30851e-11 
101 -3.26721e-11 1.34294e-10 1.72001e-11 
105 -9.7629e-12 1.13262e-10 -1.78931e-11 
109 -4.24381e-12 5.27874e-11 -3.62803e-11 
113 -8.36661e-12 1.38226e-11 9.20894e-12 
117 -1.67797e-11 2.10979e-11 5.98345e-12 
121 -1.00998e-11 1.52931e-11 -5.47403e-12 
125 -1.50571e-11 2.41779e-11 -1.20272e-11 
129 7.11949e-11 8.26196e-11 9.5714e-11 
133 1.51195e-10 4.97446e-11 1.93974e-10 
137 1.68721e-10 -6.21451e-11 2.09155e-10 
141 8.56773e-11 -8.88586e-11 9.17931e-11 
145 2.8645e-11 7.20745e-11 9.84167e-11 
149 6.78773e-11 5.02711e-11 2.22926e-10 
153 5.46868e-11 -5.47006e-11 1.88184e-10 
157 3.03424e-11 -5.56666e-11 9.25931e-11 
161 -6.92662e-12 2.435e-11 3.71395e-11 
165 -1.18323e-12 3.10646e-12 6.60597e-11 
169 -1.55323e-11 -3.52729e-11 9.82011e-11 
173 -9.22588e-12 -3.26596e-11 4.42893e-11 
177 -1.35271e-11 6.6551e-12 1.45959e-11 
181 -3.14521e-11 1.10358e-11 5.8442e-11 
185 -1.80299e-11 -1.19398e-11 2.67392e-11 
189 -1.3162e-11 -1.34952e-11 2.1672e-11 
2 1.08298e-10 8.55288e-11 5.94321e-11 
6 2.33157e-10 1.55557e-10 4.44779e-11 
10 3.01658e-10 1.888e-10 -5.57915e-11 
14 1.72138e-10 9.26972e-11 -8.80056e-11 
18 2.1031e-10 6.14814e-11 1.29479e-10 
22 5.1035e-10 9.38439e-11 1.12629e-10 
26 4.83786e-10 1.10264e-10 -9.72699e-11 
30 2.87134e-10 5.92702e-11 -1.75356e-10 
34 2.09759e-10 -4.33265e-11 1.36701e-10 
38 5.68328e-10 -1.47517e-10 1.36707e-10 
42 5.67448e-10 -1.07516e-10 -1.27201e-10 
46 2.49915e-10 -4.94141e-11 -1.56058e-10 
50 1.68094e-10 -1.41605e-10 1.41314e-10 
54 2.18735e-10 -1.59347e-10 6.20227e-11 
58 2.7217e-10 -1.64531e-10 -5.34863e-11 
62 1.60595e-10 -8.34737e-11 -1.06361e-10 
66 8.50143e-11 9.42495e-11 6.19635e-11 
70 1.36821e-10 1.89877e-10 4.74671e-11 
74 1.15452e-10 1.53181e-10 -3.76427e-11 
78 3.73964e-11 7.08352e-11 -3.72878e-11 
82 3.4313e-11 1.17638e-10 7.83763e-11 
86 5.64672e-11 2.2331e-10 5.51769e-11 
90 4.30246e-11 1.83925e-10 -4.50056e-11 
94 1.10519e-11 5.06603e-11 -4.35224e-11 
98 -2.47297e-11 8.4715e-11 6.68396e-11 
102 -1.28846e-11 1.1341e-10 2.72297e-11 
106 -1.82152e-11 9.14834e-11 -2.66442e-11 
110 -2.05415e-12 2.80153e-11 -2.56551e-11 
114 -1.64758e-11 2.63513e-11 1.97328e-11 
118 -2.05221e-11 2.05986e-11 8.97127e-12 
122 -2.06808e-11 2.26318e-11 -3.86181e-12 
126 -7.10472e-12 1.58072e-11 -1.32832e-11 
130 8.32245e-11 7.84549e-11 1.09183e-10 
134 1.44928e-10 4.80023e-11 1.80874e-10 
