N,Total_Cells,Drag_Fx_N,Drag_Fx_pN,PPC_actual,Fnum_used,Percent_Change
10,1000,1.27779644e-08,12777.9644,50.00,61800090,—
16,4096,1.26427280e-08,12642.7280,50.00,15087913,-1.058%
22,10648,1.30551004e-08,13055.1004,50.00,5803915,3.262%
