ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 0.0005
0 0.0005
0 0.0005
ITEM: SURFS id f_f_drag_cumul[1] f_f_drag_cumul[2] f_f_drag_cumul[3] 
1 1.19973e-10 7.4402e-11 8.53568e-11 
5 2.5229e-10 1.52143e-10 5.87756e-11 
9 2.68465e-10 1.85105e-10 -6.57164e-11 
13 1.22511e-10 1.02935e-10 -1.02226e-10 
17 1.92562e-10 4.01406e-11 1.33169e-10 
21 5.25922e-10 1.12037e-10 1.20657e-10 
25 6.00942e-10 1.28406e-10 -1.26327e-10 
29 2.8593e-10 6.80866e-11 -1.90102e-10 
33 2.02284e-10 -4.19915e-11 1.27871e-10 
37 4.8814e-10 -9.41311e-11 9.34772e-11 
41 4.90534e-10 -1.05911e-10 -1.02239e-10 
45 2.63264e-10 -6.22216e-11 -1.66955e-10 
49 1.39853e-10 -7.53336e-11 7.10917e-11 
53 1.68387e-10 -1.01787e-10 3.32827e-11 
57 2.14467e-10 -1.47483e-10 -4.50479e-11 
61 1.41428e-10 -9.61483e-11 -8.21252e-11 
65 4.8896e-11 7.036e-11 5.14059e-11 
69 1.21888e-10 1.70752e-10 4.36955e-11 
73 1.22885e-10 1.54258e-10 -3.74609e-11 
77 9.9333e-11 1.03828e-10 -8.84764e-11 
81 2.89295e-11 9.58005e-11 7.01727e-11 
85 5.82082e-11 2.17266e-10 5.28357e-11 
89 7.56929e-11 2.26078e-10 -5.30972e-11 
93 3.83626e-11 1.23166e-10 -8.49667e-11 
97 -6.09147e-12 3.42831e-11 2.21119e-11 
101 -1.32249e-11 9.30752e-11 1.62597e-11 
105 -1.17702e-11 6.85662e-11 -1.30658e-11 
109 -8.45411e-12 5.04031e-11 -3.46915e-11 
113 -7.78666e-12 1.76556e-11 1.0467e-11 
117 -8.75246e-12 2.35983e-11 4.66935e-12 
121 -1.13542e-11 1.76289e-11 -5.92703e-12 
125 -9.91065e-12 1.53525e-11 -1.09575e-11 
129 6.50326e-11 6.78072e-11 9.16933e-11 
133 1.02413e-10 3.96808e-11 1.44867e-10 
137 1.55652e-10 -5.23966e-11 1.90962e-10 
141 8.80741e-11 -7.86883e-11 1.00851e-10 
145 2.74903e-11 6.61057e-11 8.81829e-11 
149 5.07988e-11 4.3742e-11 1.85388e-10 
153 7.3178e-11 -5.19679e-11 2.48763e-10 
157 3.93106e-11 -8.94585e-11 1.1939e-10 
161 -3.58912e-12 2.93653e-11 4.95234e-11 
165 -1.00636e-11 1.84062e-11 8.03865e-11 
169 -1.88195e-11 -2.15641e-11 1.06939e-10 
173 -6.88895e-12 -2.4904e-11 4.07489e-11 
177 -4.93382e-12 7.55033e-12 1.20763e-11 
181 -1.02837e-11 3.92732e-12 1.96516e-11 
185 -1.10475e-11 -2.97218e-12 1.35307e-11 
189 -5.42657e-12 -7.11361e-12 8.96827e-12 
2 1.11736e-10 7.43697e-11 7.03278e-11 
6 2.44749e-10 1.62607e-10 4.97717e-11 
10 2.27918e-10 1.31471e-10 -4.23098e-11 
14 1.09419e-10 5.42135e-11 -5.97678e-11 
18 2.61291e-10 5.83836e-11 1.60846e-10 
22 5.52702e-10 1.2122e-10 1.13336e-10 
26 5.16558e-10 1.08059e-10 -1.05838e-10 
30 1.89932e-10 3.60743e-11 -1.08623e-10 
34 2.51871e-10 -6.12387e-11 1.66246e-10 
38 5.9936e-10 -1.27661e-10 1.32943e-10 
42 5.53082e-10 -1.13953e-10 -1.1781e-10 
46 2.13596e-10 -3.90961e-11 -1.48448e-10 
50 1.15556e-10 -8.51162e-11 8.47844e-11 
54 2.65326e-10 -1.78624e-10 6.24241e-11 
58 3.08409e-10 -1.90203e-10 -6.91705e-11 
62 1.08928e-10 -6.5787e-11 -7.29691e-11 
66 7.98339e-11 8.64108e-11 6.09032e-11 
70 1.34837e-10 1.66295e-10 3.94083e-11 
74 1.01724e-10 1.49925e-10 -2.86531e-11 
78 5.8833e-11 8.20771e-11 -4.88968e-11 
82 3.9418e-11 1.19658e-10 7.65969e-11 
86 5.93656e-11 2.03975e-10 4.80867e-11 
90 4.85822e-11 1.79612e-10 -4.10357e-11 
94 2.54087e-11 9.879e-11 -6.95543e-11 
98 -1.08144e-11 5.42944e-11 3.85323e-11 
102 -1.44648e-11 1.07467e-10 2.51347e-11 
106 -1.44053e-11 1.05265e-10 -2.74074e-11 
110 -7.24475e-12 4.8535e-11 -3.24102e-11 
114 -1.58712e-11 1.79491e-11 1.65763e-11 
118 -1.77487e-11 2.62491e-11 6.95642e-12 
122 -1.26539e-11 2.13249e-11 -6.9468e-12 
126 -1.31833e-11 2.11908e-11 -1.59748e-11 
130 8.27161e-11 6.23389e-11 1.01923e-10 
134 1.28781e-10 3.50175e-11 1.54819e-10 
