ITEM: TIMESTEP
25000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 0 0 0 
5 0 0 0 
9 0 0 0 
13 0 0 0 
17 0 0 0 
21 0 0 0 
25 0 0 0 
29 0 0 0 
33 0 0 0 
37 0 0 0 
41 0 0 0 
45 0 0 0 
49 0 0 0 
53 0 0 0 
57 0 0 0 
61 0 0 0 
65 0 0 0 
69 0 0 0 
73 0 0 0 
77 0 0 0 
81 0 0 0 
85 0 0 0 
89 0 0 0 
93 0 0 0 
97 0 0 0 
101 0 0 0 
105 0 0 0 
109 0 0 0 
113 0 0 0 
117 0 0 0 
121 0 0 0 
125 0 0 0 
129 0 0 0 
133 0 0 0 
137 0 0 0 
141 0 0 0 
145 0 0 0 
149 0 0 0 
153 0 0 0 
157 0 0 0 
161 0 0 0 
165 0 0 0 
169 0 0 0 
173 0 0 0 
177 0 0 0 
181 0 0 0 
185 0 0 0 
189 0 0 0 
2 0 0 0 
6 0 0 0 
10 0 0 0 
14 0 0 0 
18 0 0 0 
22 0 0 0 
26 0 0 0 
30 0 0 0 
34 0 0 0 
38 0 0 0 
42 0 0 0 
46 0 0 0 
50 0 0 0 
54 0 0 0 
58 0 0 0 
62 0 0 0 
66 0 0 0 
70 0 0 0 
74 0 0 0 
78 0 0 0 
82 0 0 0 
86 0 0 0 
90 0 0 0 
94 0 0 0 
98 0 0 0 
102 0 0 0 
106 0 0 0 
110 0 0 0 
114 0 0 0 
118 0 0 0 
122 0 0 0 
126 0 0 0 
130 0 0 0 
134 0 0 0 
138 0 0 0 
142 0 0 0 
146 0 0 0 
150 0 0 0 
154 0 0 0 
158 0 0 0 
162 0 0 0 
166 0 0 0 
170 0 0 0 
174 0 0 0 
178 0 0 0 
182 0 0 0 
186 0 0 0 
190 0 0 0 
3 0 0 0 
7 0 0 0 
11 0 0 0 
15 0 0 0 
19 0 0 0 
23 0 0 0 
27 0 0 0 
31 0 0 0 
35 0 0 0 
39 0 0 0 
43 0 0 0 
47 0 0 0 
51 0 0 0 
55 0 0 0 
59 0 0 0 
63 0 0 0 
67 0 0 0 
71 0 0 0 
75 0 0 0 
79 0 0 0 
83 0 0 0 
87 0 0 0 
91 0 0 0 
95 0 0 0 
99 0 0 0 
103 0 0 0 
107 0 0 0 
111 0 0 0 
115 0 0 0 
119 0 0 0 
123 0 0 0 
127 0 0 0 
131 0 0 0 
135 0 0 0 
139 0 0 0 
143 0 0 0 
147 0 0 0 
151 0 0 0 
155 0 0 0 
159 0 0 0 
163 0 0 0 
167 0 0 0 
171 0 0 0 
175 0 0 0 
179 0 0 0 
183 0 0 0 
187 0 0 0 
191 0 0 0 
4 0 0 0 
8 0 0 0 
12 0 0 0 
16 0 0 0 
20 0 0 0 
24 0 0 0 
28 0 0 0 
32 0 0 0 
36 0 0 0 
40 0 0 0 
44 0 0 0 
48 0 0 0 
52 0 0 0 
56 0 0 0 
60 0 0 0 
64 0 0 0 
68 0 0 0 
72 0 0 0 
76 0 0 0 
80 0 0 0 
84 0 0 0 
88 0 0 0 
92 0 0 0 
96 0 0 0 
100 0 0 0 
104 0 0 0 
108 0 0 0 
112 0 0 0 
116 0 0 0 
120 0 0 0 
124 0 0 0 
128 0 0 0 
132 0 0 0 
136 0 0 0 
140 0 0 0 
144 0 0 0 
148 0 0 0 
152 0 0 0 
156 0 0 0 
160 0 0 0 
164 0 0 0 
168 0 0 0 
172 0 0 0 
176 0 0 0 
180 0 0 0 
184 0 0 0 
188 0 0 0 
192 0 0 0 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF SURFS
192
ITEM: BOX BOUNDS oo rr rr
0 5e-06
0 5e-06
0 5e-06
ITEM: SURFS id f_ID_drag_fix[1] f_ID_drag_fix[2] f_ID_drag_fix[3] 
1 1.53349e-14 8.66053e-15 1.09869e-14 
5 1.72847e-14 1.0935e-14 5.4683e-15 
9 3.71728e-14 2.53928e-14 -1.67108e-15 
13 6.89751e-15 7.51009e-15 -6.6692e-15 
17 1.78279e-14 2.13895e-15 1.46631e-14 
21 7.2617e-14 1.88402e-14 1.17168e-14 
25 5.25149e-14 1.38452e-14 -1.20646e-14 
29 2.01769e-14 3.18492e-15 -1.40167e-14 
33 7.82153e-15 -2.41771e-15 2.17608e-15 
37 2.44705e-14 -5.65377e-15 5.41363e-15 
41 9.3761e-14 -1.73262e-14 -2.0218e-14 
45 1.91374e-14 -7.68613e-15 -1.24056e-14 
49 5.75175e-14 -2.9627e-14 3.54619e-14 
53 3.93709e-14 -2.60963e-14 1.48032e-14 
57 3.74197e-14 -2.84206e-14 -9.09375e-15 
61 3.20785e-14 -2.55089e-14 -1.72128e-14 
65 1.51728e-14 2.44796e-14 1.66527e-14 
69 2.1125e-14 3.28195e-14 6.55016e-15 
73 1.70752e-14 2.49744e-14 -6.85023e-15 
77 1.5694e-14 1.9184e-14 -1.23364e-14 
81 5.09003e-15 1.62427e-14 6.50228e-15 
85 1.06444e-14 3.1282e-14 1.36067e-14 
89 8.31649e-16 7.54805e-15 5.19824e-16 
93 2.30343e-15 5.52987e-15 -4.61265e-15 
97 -2.66626e-15 6.75976e-15 5.55645e-15 
101 8.40739e-16 1.31536e-14 1.79197e-15 
105 -2.54968e-15 1.38326e-14 -4.59877e-15 
109 -1.30734e-15 1.13144e-14 -7.86763e-15 
113 -3.156e-15 6.80591e-15 1.68163e-15 
117 0 0 0 
121 -2.45033e-15 3.50076e-15 -4.64683e-16 
125 -2.10956e-15 3.72709e-15 -1.86677e-15 
129 9.44799e-15 1.60196e-14 2.09351e-14 
133 1.57197e-14 2.02979e-15 2.05489e-14 
137 2.27137e-14 -9.18925e-15 2.45929e-14 
141 1.44922e-14 -1.45712e-14 1.90566e-14 
145 2.67084e-15 5.68527e-15 4.93616e-15 
149 7.26486e-15 6.44743e-15 1.48486e-14 
153 6.98911e-15 -4.88346e-15 2.11135e-14 
157 2.59867e-15 -5.02403e-15 7.94063e-15 
161 -2.56946e-16 4.17597e-15 5.39173e-15 
165 6.67641e-16 -1.50807e-16 1.75058e-15 
169 0 0 0 
173 -5.15824e-15 -1.15147e-14 1.79229e-14 
177 -3.24339e-15 3.67453e-15 5.8255e-15 
181 0 0 0 
185 -3.61338e-16 -2.35436e-15 2.41866e-15 
189 0 0 0 
2 8.78792e-15 8.21135e-15 6.95704e-15 
6 3.73287e-14 2.52833e-14 7.6077e-15 
10 3.63258e-14 2.43263e-14 -6.66995e-15 
14 3.60558e-14 3.00189e-14 -2.40706e-14 
18 3.04928e-14 8.61737e-15 2.03526e-14 
22 4.33227e-14 1.30093e-14 8.25824e-15 
26 5.37525e-14 1.47927e-14 -9.72616e-15 
30 4.56102e-14 -3.25906e-15 -3.10726e-14 
34 3.30663e-14 -7.21738e-15 2.74604e-14 
38 6.46572e-14 -1.33659e-14 1.32403e-14 
42 3.09198e-14 -6.65843e-15 -7.50546e-15 
46 2.28529e-14 -5.35662e-15 -1.78888e-14 
50 1.01663e-14 -7.38354e-15 4.30222e-15 
54 2.08605e-14 -1.57762e-14 6.0606e-15 
58 1.10143e-14 -9.5962e-15 -6.19334e-16 
62 2.85698e-14 -1.92944e-14 -2.56147e-14 
66 2.27748e-14 2.74824e-14 1.73827e-14 
70 1.93991e-14 2.1555e-14 3.41265e-15 
74 1.01641e-14 1.5695e-14 -2.57182e-15 
78 3.07471e-14 4.93965e-14 -2.95595e-14 
82 0 0 0 
86 2.90696e-15 1.00582e-14 -4.49856e-16 
90 4.59699e-15 2.1493e-14 -5.25698e-15 
94 5.4884e-15 2.22835e-14 -1.11735e-14 
98 -2.95649e-15 1.36419e-14 1.02307e-14 
102 -4.91421e-16 1.01414e-14 7.39512e-15 
106 -1.56869e-16 6.5323e-15 -2.79505e-15 
110 -1.264e-15 1.60194e-14 -1.36213e-14 
114 0 0 0 
118 -2.12395e-15 3.05494e-15 5.9027e-16 
122 0 0 0 
126 0 0 0 
130 1.80366e-14 1.22447e-14 2.26489e-14 
134 1.10562e-14 1.08453e-15 1.691e-14 
138 1.10985e-14 -5.65972e-15 1.40394e-14 
142 2.22547e-14 -2.14229e-14 3.53114e-14 
146 6.18939e-15 1.34232e-14 1.84892e-14 
150 7.14573e-15 5.66059e-15 2.55587e-14 
154 5.57089e-15 -9.32574e-15 3.59791e-14 
158 5.73921e-15 -1.6586e-14 1.39902e-14 
