Timestep_s,Total_Steps,Drag_Fx
1.2e-11,833333,0.000000e+00
2.5e-11,400000,1.435292e-12
5.0e-11,200000,1.509061e-12
1.0e-10,100000,1.577366e-12
2.0e-10,50000,1.580679e-12
