Timestep_s,Total_Steps,Drag_Fx
1e-9,10000,1.451422e-12
5e-10,20000,1.694932e-12
1e-10,100000,1.577366e-12
5e-11,200000,1.509061e-12
1e-11,1000000,1.376491e-12
