Timestep_s,Total_Steps,Drag_Fx
1.2e-11,833333,0.000000e+00
2.5e-11,400000,0.000000e+00
5.0e-11,200000,8.859030e-12
1.0e-10,100000,1.262350e-12
2.0e-10,50000,0.000000e+00
